IE_XML_ID;IE_NAME;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IP_PROP9;IP_PROP10;IP_PROP11;IP_PROP12;IP_PROP13;IP_PROP14;IP_PROP15;IP_PROP46;IP_PROP16;IP_PROP17;IP_PROP18;IP_PROP19;IP_PROP20;IP_PROP21;IP_PROP22;IP_PROP23;IP_PROP24;IP_PROP25;IP_PROP26;IP_PROP27;IP_PROP28;IP_PROP29;IC_GROUP0;IC_GROUP1;IC_GROUP2;CP_QUANTITY;CP_WEIGHT;CP_WIDTH;CP_HEIGHT;CP_LENGTH;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
79;Комплект со стрингами S7 PINK;;;;Комплект со стрингами S7 PINK;;;Y;;;;S7 PINK;;;/upload/iblock/498/498270ef4f389ebb4ae1ed31483e267a.jpg;;;;18;;;;;1400.00;1400.00;Комплекты;Со стрингами;;0;0;0;0;0;;;1400.00;RUB
80;Комплект X1 BLACK;;блаблабла;;Комплект X1 BLACK;;;;;;;X1 BLACK;Шелк;Черный;/upload/iblock/3e2/3e24a92d863f53362e17a42fdbb15296.jpg;;;;24;;;;;1600.00;1600.00;Комплекты;Model X;;0;0;0;0;0;;;1600.00;RUB
80;Комплект X1 BLACK;;блаблабла;;Комплект X1 BLACK;;;;;;;X1 BLACK;Шелк;Черный;/upload/iblock/461/461c131a4b66e999f9b8f3297d25c3c0.jpg;;;;24;;;;;1600.00;1600.00;Комплекты;Model X;;0;0;0;0;0;;;1600.00;RUB
80;Комплект X1 BLACK;;блаблабла;;Комплект X1 BLACK;;;;;;;X1 BLACK;Шелк;Черный;/upload/iblock/29f/29f8a12841e5bad939f7fca929b81da2.jpg;;;;24;;;;;1600.00;1600.00;Комплекты;Model X;;0;0;0;0;0;;;1600.00;RUB
80;Комплект X1 BLACK;;блаблабла;;Комплект X1 BLACK;;;;;;;X1 BLACK;Шелк;Черный;/upload/iblock/af1/af1bf41065c3332d189844e11975303e.jpg;;;;24;;;;;1600.00;1600.00;Комплекты;Model X;;0;0;0;0;0;;;1600.00;RUB
80;Комплект X1 BLACK;;блаблабла;;Комплект X1 BLACK;;;;;;;X1 BLACK;Шелк;Черный;/upload/iblock/3db/3dbc207c12c7eb605db43858190628fc.jpg;;;;24;;;;;1600.00;1600.00;Комплекты;Model X;;0;0;0;0;0;;;1600.00;RUB
80;Комплект X1 BLACK;;блаблабла;;Комплект X1 BLACK;;;;;;;X1 BLACK;Шелк;Черный;/upload/iblock/3e2/3e24a92d863f53362e17a42fdbb15296.jpg;;;;24;;;;;1600.00;1600.00;Комплекты;С чашкой;;0;0;0;0;0;;;1600.00;RUB
80;Комплект X1 BLACK;;блаблабла;;Комплект X1 BLACK;;;;;;;X1 BLACK;Шелк;Черный;/upload/iblock/461/461c131a4b66e999f9b8f3297d25c3c0.jpg;;;;24;;;;;1600.00;1600.00;Комплекты;С чашкой;;0;0;0;0;0;;;1600.00;RUB
80;Комплект X1 BLACK;;блаблабла;;Комплект X1 BLACK;;;;;;;X1 BLACK;Шелк;Черный;/upload/iblock/29f/29f8a12841e5bad939f7fca929b81da2.jpg;;;;24;;;;;1600.00;1600.00;Комплекты;С чашкой;;0;0;0;0;0;;;1600.00;RUB
80;Комплект X1 BLACK;;блаблабла;;Комплект X1 BLACK;;;;;;;X1 BLACK;Шелк;Черный;/upload/iblock/af1/af1bf41065c3332d189844e11975303e.jpg;;;;24;;;;;1600.00;1600.00;Комплекты;С чашкой;;0;0;0;0;0;;;1600.00;RUB
80;Комплект X1 BLACK;;блаблабла;;Комплект X1 BLACK;;;;;;;X1 BLACK;Шелк;Черный;/upload/iblock/3db/3dbc207c12c7eb605db43858190628fc.jpg;;;;24;;;;;1600.00;1600.00;Комплекты;С чашкой;;0;0;0;0;0;;;1600.00;RUB
81;Комплект X3 RED;;;;Комплект X3 RED;;;;;;;X3 RED;;Красный;/upload/iblock/437/4374aadc08e682b332b6759bfa81b240.jpg;;;;26;;;;;1700.00;1700.00;Комплекты;Model X;;0;0;0;0;0;;;1700.00;RUB
81;Комплект X3 RED;;;;Комплект X3 RED;;;;;;;X3 RED;;Красный;/upload/iblock/c95/c9558dfd225cbc05c6256aa45453b80a.jpg;;;;26;;;;;1700.00;1700.00;Комплекты;Model X;;0;0;0;0;0;;;1700.00;RUB
81;Комплект X3 RED;;;;Комплект X3 RED;;;;;;;X3 RED;;Красный;/upload/iblock/617/617606c3efefb8c052943255baf03e59.jpg;;;;26;;;;;1700.00;1700.00;Комплекты;Model X;;0;0;0;0;0;;;1700.00;RUB
