IE_XML_ID;IE_NAME;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IP_PROP30;IP_PROP31;IP_PROP32;IP_PROP35;IP_PROP43;IP_PROP44;IP_PROP45;IP_PROP38;IP_PROP39;IP_PROP40;IP_PROP41;IP_PROP42;IC_GROUP0;IC_GROUP1;IC_GROUP2;CP_QUANTITY;CP_WEIGHT;CP_WIDTH;CP_HEIGHT;CP_LENGTH;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
340;Черный  XS;;;16;;black;;;;;;;;;;;;;0;0;0;0;0;;;3779.00;RUB
341;Черный  S;;;16;;black;;;;;;;;;;;;;0;0;0;0;0;;;3779.00;RUB
342;Черный  M;;;16;;black;;;;;;;;;;;;;0;0;0;0;0;;;3779.00;RUB
343;Черный  L;;;16;;black;;;;;;;;;;;;;0;0;0;0;0;;;3779.00;RUB
344;Черный  XL;;;16;;black;;;;;;;;;;;;;0;0;0;0;0;;;3779.00;RUB
347; Уплотненный бюстгальтер-балконет L'Agent By Agent Provocateur Penelope  XS  Черный;;;17;;black;;;;;;;;;;;;;0;0;0;0;0;;;3543.00;RUB
348; Уплотненный бюстгальтер-балконет L'Agent By Agent Provocateur Penelope  S  Черный;;;17;;black;;;;;;;;;;;;;0;0;0;0;0;;;3543.00;RUB
349; Уплотненный бюстгальтер-балконет L'Agent By Agent Provocateur Penelope  M  Черный;;;17;;black;;;;;;;;;;;;;0;0;0;0;0;;;3543.00;RUB
350; Уплотненный бюстгальтер-балконет L'Agent By Agent Provocateur Penelope  L  Черный;;;17;;black;;;;;;;;;;;;;0;0;0;0;0;;;3543.00;RUB
351; Уплотненный бюстгальтер-балконет L'Agent By Agent Provocateur Penelope  XL  Черный;;;17;;black;;;;;;;;;;;;;0;0;0;0;0;;;3543.00;RUB
353;Сорочка L'Agent By Agent Provocateur Marsiela  XS  Черный;;;18;;black;;;;;70C;С Пуш ап;Слипы;Под кожу;XS;;;;0;0;0;0;0;;;7480.00;RUB
354;Сорочка L'Agent By Agent Provocateur Marsiela  S  Черный;;;18;;black;;Есть;;40;70B;С Пуш ап;Стринги;Под кожу;S;;;;0;0;0;0;0;;;7480.00;RUB
355;Сорочка L'Agent By Agent Provocateur Marsiela  M  Черный;;;18;;black;;;;;;;;;M;;;;0;0;0;0;0;;;7480.00;RUB
356;Сорочка L'Agent By Agent Provocateur Marsiela  L  Черный;;;18;;black;;Есть;;42;70B;С Пуш ап;Стринги;Кожа;L;;;;0;0;0;0;0;;;7480.00;RUB
357;Сорочка L'Agent By Agent Provocateur Marsiela  XL  Черный;;;18;;black;;;;;;;;;;;;;0;0;0;0;0;;;7480.00;RUB
359;L'Agent By Agent Provocateur Danita Set  XS  Красный;;;19;;red;;;;;;;;;;;;;0;0;0;0;0;;;6250.00;RUB
360;L'Agent By Agent Provocateur Danita Set  S  Красный;;;19;;red;;;;;;;;;;;;;0;0;0;0;0;;;6250.00;RUB
361;L'Agent By Agent Provocateur Danita Set  M  Красный;;;19;;red;;;;;;;;;;;;;0;0;0;0;0;;;6250.00;RUB
362;L'Agent By Agent Provocateur Danita Set  L  Красный;;;19;;red;;;;;;;;;;;;;0;0;0;0;0;;;6250.00;RUB
363;L'Agent By Agent Provocateur Danita Set  XL  Красный;;;19;;red;;;;;;;;;;;;;0;0;0;0;0;;;6250.00;RUB
367;"Футболка с сердцем и надписью ""Amour"" Th Gallery S";;;21;;;;;;;;;;;;;;;0;0;0;0;0;;;1960.00;RUB
68;Сорочка L'Agent By Agent Provocateur Marsiela RED;;;18;X3;red;;;;;80B;С Пуш ап;Слипы;Кожа;M;;;;0;0;0;0;0;;;5000.00;RUB
78;"Футболка с сердцем и надписью ""Amour"" Th Gallery M";;;21;;brown;;;;;75A;Без Пуш ап;;;M;;;;0;0;0;0;0;;;5000.00;RUB
85;Комплект X4 BLACK;;;104;;black;/upload/iblock/101/1018a4cc4458788b2fd3ec1367254bbe.jpg;;;;70B;Без Пуш ап;;;;;;;0;0;0;0;0;;;1500.00;RUB
105;Комплект X4 PINK;;;104;;pink;;;;;70B;;;;;;;;0;0;0;0;0;;;1500.00;RUB
0;Комплект X4 BLACK;;;104;;black;;;;;70B;;;;;;;;0;0;0;0;0;;;1500.00;RUB
1;Комплект X4 BLACK;;;104;;black;;;;;70C;;;;;;;;0;0;0;0;0;;;1500.00;RUB
2;Комплект X4 BLACK;;;104;;black;;;;;80B;;;;;;;;0;0;0;0;0;;;1500.00;RUB
3;Комплект X4 BLACK;;;104;;black;;;;;75C;;;;;;;;0;0;0;0;0;;;1500.00;RUB
4;Комплект X4 BLACK;;;104;;black;;;;;80C;;;;;;;;0;0;0;0;0;;;1500.00;RUB
5;Комплект X4 BLACK;;;104;;black;;;;;85B;;;;;;;;0;0;0;0;0;;;1500.00;RUB
6;Комплект X4 PINK;;;104;;pink;;;;;70B;;;;;;;;0;0;0;0;0;;;1500.00;RUB
7;Комплект X4 PINK;;;104;;pink;;;;;75B;;;;;;;;0;0;0;0;0;;;1500.00;RUB
8;Комплект X4 PINK;;;104;;pink;;;;;80B;;;;;;;;0;0;0;0;0;;;1500.00;RUB
9;Комплект X4 PINK;;;104;;pink;;;;;75C;;;;;;;;0;0;0;0;0;;;1500.00;RUB
10;Комплект X4 PINK;;;;;pink;;;;;85B;;;;;;;;0;0;0;0;0;;;1500.00;RUB
11;Комплект X4 PINK;;;;;pink;;;;;85C;;;;;;;;0;0;0;0;0;;;1500.00;RUB
